DateTime,Calsada,Bato,Buhi,Ombao,Camaligan,Balongay,Sipocot
2024-11-02 11,1.26,NaN,0.68,4.15,0.53,NaN,-0.02 
2024-11-02 12,1.26,NaN,0.68,4.14,0.39,NaN,-0.02 
2024-11-02 13,1.24,NaN,0.67,4.13,0.24,NaN,-0.02 
2024-11-02 14,1.23,NaN,0.67,4.12,0.16,NaN,-0.03 
2024-11-02 15,1.23,NaN,0.67,4.11,0.22,NaN,-0.04 
2024-11-02 16,1.23,NaN,0.67,4.1,0.55,NaN,-0.04 
2024-11-02 17,1.23,NaN,0.67,4.09,0.85,NaN,-0.05 
2024-11-02 18,1.23,NaN,0.67,4.07,0.97,NaN,-0.05 
2024-11-02 19,1.23,NaN,0.67,4.06,1.01,NaN,-0.05 
2024-11-02 20,1.23,NaN,0.67,4.05,0.99,NaN,-0.05 
2024-11-02 21,1.23,NaN,0.67,4.04,0.88,NaN,-0.04 
